<OPEN_43371>,<HIGH_43371>,<LOW_43371>,<CLOSE_43371>,<OPEN_43403>,<HIGH_43403>,<LOW_43403>,<CLOSE_43403>,<OPEN_43432>,<HIGH_43432>,<LOW_43432>,<CLOSE_43432>,<OPEN_43437>,<HIGH_43437>,<LOW_43437>,<CLOSE_43437>
117120,117230,117110,117220,110500,110580,110490,110540,109600,109630,109590,109620,115350,115360,115300,115310
117220,117240,117110,117160,110530,110540,110450,110460,109630,109660,109630,109640,115310,115380,115310,115350
117160,117200,117120,117120,110450,110520,110440,110470,109640,109690,109640,109660,115350,115370,115340,115350
117120,117200,117100,117180,110470,110510,110470,110500,109670,109690,109600,109640,115350,115360,115330,115360
117170,117180,117130,117180,110500,110580,110500,110570,109650,109680,109630,109670,115340,115390,115330,115360
117180,117190,117150,117170,110570,110620,110570,110600,109650,109700,109580,109590,115350,115410,115340,115340
117180,117200,117170,117190,110600,110630,110550,110600,109600,109620,109580,109600,115330,115360,115330,115340
117190,117270,117170,117270,110600,110620,110570,110570,109580,109630,109560,109570,115340,115350,115280,115280
117270,117270,117130,117140,110570,110600,110560,110590,109570,109590,109560,109570,115270,115330,115270,115300
117140,117150,117090,117100,110600,110600,110570,110570,109570,109590,109490,109510,115310,115340,115300,115340
117090,117120,117050,117080,110570,110610,110550,110550,109520,109550,109500,109500,115350,115410,115340,115390
117080,117120,117040,117080,110560,110570,110500,110510,109510,109560,109490,109530,115390,115480,115390,115430
117090,117150,117080,117140,110510,110510,110420,110430,109520,109540,109440,109450,115430,115460,115370,115370
117140,117160,117120,117140,110420,110540,110420,110530,109470,109500,109330,109330,115380,115380,115280,115280
117140,117170,117130,117130,110530,110540,110450,110460,109330,109410,109310,109370,115280,115300,115260,115280
117110,117230,117100,117230,110460,110460,110340,110360,109350,109380,109200,109210,115290,115320,115260,115260
117230,117240,117130,117170,110370,110400,110340,110350,109220,109260,109170,109240,115270,115280,115250,115250
117190,117190,117090,117090,110360,110410,110340,110350,109250,109320,109230,109310,115250,115250,115140,115180
117090,117140,117080,117090,110340,110440,110330,110420,109310,109330,109280,109290,115170,115190,115140,115160
117090,117100,116940,116960,110410,110430,110390,110390,109290,109420,109290,109410,115150,115240,115150,115190
116960,116990,116830,116880,110390,110400,110350,110380,109420,109460,109380,109400,115190,115260,115170,115220
116860,116890,116710,116880,110390,110430,110360,110420,109380,109420,109370,109400,115220,115280,115200,115270
116880,116880,116850,116860,110430,110470,110400,110460,109410,109450,109380,109440,115260,115300,115240,115260
116870,116920,116850,116920,110470,110470,110410,110420,109450,109480,109420,109480,115260,115260,115190,115200
116910,116940,116910,116940,110440,110490,110430,110470,109470,109470,109380,109450,115200,115220,115170,115200
116940,116970,116920,116970,110460,110560,110460,110550,109470,109670,109450,109550,115200,115220,115200,115220
116960,117040,116950,116980,110560,110620,110540,110590,109550,109550,109390,109440,115220,115260,115210,115250
116990,117000,116930,116970,110590,110600,110550,110550,109450,109500,109430,109480,115230,115260,115190,115260
116960,116960,116810,116830,110560,110580,110520,110520,109480,109580,109480,109580,115250,115310,115220,115240
116830,116880,116810,116870,110520,110670,110520,110670,109580,109640,109560,109580,115240,115280,115200,115230
116870,116880,116740,116840,110670,110830,110670,110760,109580,109610,109560,109600,115220,115240,115130,115180
116840,116840,116650,116690,110760,110830,110740,110770,109610,109610,109540,109600,115180,115230,115170,115220
116700,116710,116600,116640,110770,110780,110710,110750,109590,109640,109590,109620,115220,115260,115210,115240
116640,116710,116630,116680,110750,110760,110710,110740,109630,109780,109630,109770,115240,115280,115230,115240
116680,116760,116660,116760,110740,110750,110710,110720,109770,109780,109670,109710,115230,115250,115210,115240
116750,116750,116670,116670,110730,110760,110720,110740,109700,109730,109630,109640,115240,115240,115180,115200
116670,116690,116640,116670,110740,110750,110680,110690,109630,109640,109500,109520,115200,115220,115180,115190
116670,116700,116640,116670,110690,110740,110680,110740,109520,109560,109420,109530,115210,115230,115210,115230
116680,116730,116650,116720,110730,110740,110690,110700,109520,109560,109490,109490,115230,115250,115220,115240
116720,116760,116660,116670,110690,110720,110670,110680,109500,109530,109470,109490,115230,115250,115220,115240
116680,116710,116630,116660,110680,110730,110670,110720,109490,109570,109470,109540,115240,115370,115220,115250
116660,116700,116610,116680,110730,110890,110720,110830,109530,109620,109520,109620,115250,115260,115200,115210
116690,116710,116630,116640,110820,110920,110820,110870,109610,109690,109540,109570,115210,115240,115170,115190
116630,116640,116500,116530,110870,110880,110790,110800,109590,109640,109580,109610,115180,115210,115160,115170
116530,116600,116500,116520,110800,110850,110780,110830,109610,109680,109560,109660,115170,115200,115140,115170
116530,116540,116360,116390,110830,110870,110810,110820,109650,109700,109650,109700,115170,115170,115110,115140
116380,116460,116350,116460,110840,110840,110740,110740,109700,109700,109620,109680,115140,115220,115120,115200
116450,116580,116450,116570,110750,110790,110740,110760,109680,109720,109620,109710,115220,115250,115210,115220
116560,116590,116530,116580,110770,110780,110750,110770,109720,109760,109700,109710,115220,115260,115210,115230
